customer_id,name,gender,age,city,signup_date
C00001,Customer_00001,M,57,Kolkata,2024-01-31
C00002,Customer_00002,F,24,Chennai,2025-11-23
C00003,Customer_00003,F,49,Kolkata,2025-11-04
C00004,Customer_00004,F,36,Bengaluru,2024-05-07
C00005,Customer_00005,M,23,Hyderabad,2024-10-20
C00006,Customer_00006,M,37,Vijayawada,2025-03-16
C00007,Customer_00007,M,44,Ahmedabad,2025-01-22
C00008,Customer_00008,F,60,Hyderabad,2025-10-03
C00009,Customer_00009,F,54,Bengaluru,2025-06-07
C00010,Customer_00010,F,24,Vijayawada,2025-06-30
C00011,Customer_00011,M,22,Pune,2025-12-10
C00012,Customer_00012,F,28,Hyderabad,2024-04-19
C00013,Customer_00013,F,32,Vijayawada,2024-11-23
C00014,Customer_00014,M,20,Mumbai,2025-02-08
C00015,Customer_00015,M,22,Kolkata,2024-09-01
C00016,Customer_00016,M,40,Ahmedabad,2024-06-11
C00017,Customer_00017,M,54,Delhi,2025-07-13
C00018,Customer_00018,F,26,Mumbai,2025-02-02
C00019,Customer_00019,M,32,Hyderabad,2025-08-05
C00020,Customer_00020,M,20,Jaipur,2025-02-02
C00021,Customer_00021,F,46,Vijayawada,2025-05-07
C00022,Customer_00022,M,23,Pune,2025-10-07
C00023,Customer_00023,M,34,Pune,2024-08-26
C00024,Customer_00024,M,43,Jaipur,2025-04-09
C00025,Customer_00025,M,38,Hyderabad,2025-08-02
C00026,Customer_00026,F,25,Pune,2024-02-01
C00027,Customer_00027,M,38,Chennai,2024-05-02
C00028,Customer_00028,F,28,Pune,2025-06-17
C00029,Customer_00029,F,55,Ahmedabad,2025-10-28
C00030,Customer_00030,M,25,Chennai,2024-04-19
C00031,Customer_00031,F,59,Bengaluru,2024-09-27
C00032,Customer_00032,M,41,Bengaluru,2025-01-14
C00033,Customer_00033,M,52,Vijayawada,2024-10-26
C00034,Customer_00034,F,31,Chennai,2025-09-18
C00035,Customer_00035,F,31,Mumbai,2024-09-05
C00036,Customer_00036,F,27,Vijayawada,2025-06-04
C00037,Customer_00037,M,29,Mumbai,2024-02-03
C00038,Customer_00038,M,55,Ahmedabad,2024-08-15
C00039,Customer_00039,F,51,Kolkata,2025-08-07
C00040,Customer_00040,M,58,Hyderabad,2025-02-02
C00041,Customer_00041,M,27,Chennai,2025-12-24
C00042,Customer_00042,F,34,Jaipur,2025-08-06
C00043,Customer_00043,M,34,Delhi,2025-07-23
C00044,Customer_00044,F,20,Hyderabad,2024-08-07
C00045,Customer_00045,M,48,Ahmedabad,2025-01-05
C00046,Customer_00046,F,18,Chennai,2025-06-11
C00047,Customer_00047,M,29,Bengaluru,2024-03-15
C00048,Customer_00048,F,56,Hyderabad,2025-09-09
C00049,Customer_00049,F,21,Mumbai,2024-05-15
C00050,Customer_00050,M,59,Jaipur,2024-03-14
C00051,Customer_00051,F,30,Hyderabad,2024-09-10
C00052,Customer_00052,F,51,Delhi,2024-01-18
C00053,Customer_00053,F,59,Ahmedabad,2024-02-12
C00054,Customer_00054,F,38,Ahmedabad,2024-02-19
C00055,Customer_00055,F,39,Vijayawada,2025-05-29
C00056,Customer_00056,F,21,Ahmedabad,2025-07-24
C00057,Customer_00057,M,35,Vijayawada,2025-07-29
C00058,Customer_00058,M,22,Ahmedabad,2025-08-04
C00059,Customer_00059,M,36,Delhi,2024-10-29
C00060,Customer_00060,M,19,Ahmedabad,2024-05-21
C00061,Customer_00061,M,29,Jaipur,2024-07-20
C00062,Customer_00062,M,34,Kolkata,2024-07-25
C00063,Customer_00063,F,27,Bengaluru,2025-02-18
C00064,Customer_00064,M,51,Jaipur,2024-08-08
C00065,Customer_00065,M,23,Ahmedabad,2024-12-27
C00066,Customer_00066,F,25,Chennai,2024-03-21
C00067,Customer_00067,M,28,Mumbai,2025-07-16
C00068,Customer_00068,F,29,Kolkata,2024-10-11
C00069,Customer_00069,M,26,Bengaluru,2025-01-03
C00070,Customer_00070,Other,19,Mumbai,2025-05-06
C00071,Customer_00071,F,25,Jaipur,2024-12-11
C00072,Customer_00072,M,28,Delhi,2024-07-22
C00073,Customer_00073,M,53,Delhi,2024-01-25
C00074,Customer_00074,F,27,Mumbai,2025-07-06
C00075,Customer_00075,F,38,Chennai,2024-03-09
C00076,Customer_00076,F,37,Mumbai,2025-05-30
C00077,Customer_00077,F,25,Jaipur,2025-05-06
C00078,Customer_00078,M,53,Mumbai,2024-08-27
C00079,Customer_00079,M,46,Bengaluru,2024-12-26
C00080,Customer_00080,M,59,Chennai,2025-03-16
C00081,Customer_00081,F,29,Pune,2024-01-31
C00082,Customer_00082,F,31,Hyderabad,2025-09-20
C00083,Customer_00083,M,38,Pune,2025-12-07
C00084,Customer_00084,M,39,Vijayawada,2025-08-24
C00085,Customer_00085,M,38,Mumbai,2025-11-20
C00086,Customer_00086,M,47,Delhi,2025-10-18
C00087,Customer_00087,F,56,Pune,2025-12-14
C00088,Customer_00088,F,37,Ahmedabad,2024-11-17
C00089,Customer_00089,F,41,Jaipur,2024-12-09
C00090,Customer_00090,M,40,Pune,2025-12-15
C00091,Customer_00091,M,24,Kolkata,2025-06-19
C00092,Customer_00092,F,26,Chennai,2024-12-20
C00093,Customer_00093,F,18,Jaipur,2025-04-15
C00094,Customer_00094,F,43,Delhi,2024-04-14
C00095,Customer_00095,F,55,Vijayawada,2024-11-17
C00096,Customer_00096,F,55,Pune,2025-07-25
C00097,Customer_00097,F,39,Chennai,2025-06-10
C00098,Customer_00098,M,27,Hyderabad,2025-05-18
C00099,Customer_00099,M,23,Chennai,2024-03-25
C00100,Customer_00100,M,34,Chennai,2025-12-09
C00101,Customer_00101,M,55,Jaipur,2024-08-22
C00102,Customer_00102,F,41,Hyderabad,2024-09-19
C00103,Customer_00103,M,27,Chennai,2024-01-06
C00104,Customer_00104,F,25,Kolkata,2025-05-08
C00105,Customer_00105,F,38,Pune,2024-10-15
C00106,Customer_00106,M,23,Pune,2025-07-23
C00107,Customer_00107,M,38,Kolkata,2025-10-18
C00108,Customer_00108,F,56,Pune,2025-07-07
C00109,Customer_00109,M,41,Chennai,2024-12-15
C00110,Customer_00110,M,50,Vijayawada,2024-07-18
C00111,Customer_00111,M,35,Chennai,2025-11-16
C00112,Customer_00112,M,45,Jaipur,2024-11-30
C00113,Customer_00113,F,49,Ahmedabad,2025-08-29
C00114,Customer_00114,F,29,Vijayawada,2024-08-04
C00115,Customer_00115,F,59,Delhi,2025-09-14
C00116,Customer_00116,F,44,Delhi,2024-12-18
C00117,Customer_00117,F,27,Vijayawada,2025-11-22
C00118,Customer_00118,M,59,Chennai,2025-11-05
C00119,Customer_00119,F,49,Mumbai,2025-09-22
C00120,Customer_00120,F,59,Ahmedabad,2024-11-20
C00121,Customer_00121,F,43,Kolkata,2024-08-15
C00122,Customer_00122,F,42,Chennai,2024-05-24
C00123,Customer_00123,M,28,Vijayawada,2024-11-03
C00124,Customer_00124,M,40,Mumbai,2025-10-15
C00125,Customer_00125,M,51,Chennai,2025-09-25
C00126,Customer_00126,M,57,Mumbai,2024-10-11
C00127,Customer_00127,F,40,Vijayawada,2025-01-26
C00128,Customer_00128,F,46,Chennai,2024-12-25
C00129,Customer_00129,M,48,Hyderabad,2024-06-13
C00130,Customer_00130,F,24,Pune,2025-08-03
C00131,Customer_00131,M,57,Vijayawada,2024-08-11
C00132,Customer_00132,M,50,Delhi,2024-05-03
C00133,Customer_00133,M,38,Delhi,2024-12-09
C00134,Customer_00134,M,19,Ahmedabad,2025-06-07
C00135,Customer_00135,F,35,Bengaluru,2024-02-21
C00136,Customer_00136,M,50,Delhi,2024-05-08
C00137,Customer_00137,F,54,Bengaluru,2024-05-14
C00138,Customer_00138,F,51,Hyderabad,2025-10-18
C00139,Customer_00139,M,37,Vijayawada,2024-05-06
C00140,Customer_00140,F,52,Mumbai,2024-03-11
C00141,Customer_00141,F,35,Ahmedabad,2024-09-29
C00142,Customer_00142,M,41,Pune,2024-07-05
C00143,Customer_00143,F,25,Kolkata,2024-01-03
C00144,Customer_00144,M,47,Bengaluru,2024-10-11
C00145,Customer_00145,M,27,Pune,2024-01-22
C00146,Customer_00146,M,40,Ahmedabad,2024-06-14
C00147,Customer_00147,F,28,Ahmedabad,2024-11-05
C00148,Customer_00148,F,19,Delhi,2025-04-21
C00149,Customer_00149,M,43,Pune,2025-05-12
C00150,Customer_00150,M,53,Chennai,2025-03-09
C00151,Customer_00151,F,50,Jaipur,2024-08-21
C00152,Customer_00152,M,30,Ahmedabad,2025-10-31
C00153,Customer_00153,M,57,Bengaluru,2025-10-24
C00154,Customer_00154,M,42,Kolkata,2025-12-25
C00155,Customer_00155,Other,21,Kolkata,2025-01-10
C00156,Customer_00156,M,59,Hyderabad,2025-12-30
C00157,Customer_00157,F,36,Hyderabad,2024-09-02
C00158,Customer_00158,F,35,Delhi,2024-10-29
C00159,Customer_00159,M,54,Chennai,2025-02-08
C00160,Customer_00160,F,47,Delhi,2025-10-24
C00161,Customer_00161,M,36,Kolkata,2025-12-08
