order_id,product_id,quantity,unit_price
O000001,P0021,1,1964.21
O000002,P0149,1,902.96
O000002,P0104,1,484.69
O000003,P0118,2,2510.94
O000004,P0144,1,3202.93
O000004,P0091,3,10968.27
O000005,P0088,2,1119.44
O000006,P0138,2,1986.13
O000006,P0031,1,503.89
O000006,P0131,1,564.4
O000007,P0124,2,2328.72
O000007,P0021,1,1796.15
O000007,P0122,1,1203.4
O000008,P0065,2,237.47
O000009,P0131,3,562.61
O000009,P0005,4,1645.89
O000010,P0117,1,3751.46
O000011,P0049,2,1488.23
O000011,P0099,1,2642.38
O000011,P0143,2,2792.78
O000011,P0058,1,1526.63
O000012,P0064,2,3139.25
O000012,P0145,1,393.62
O000012,P0023,1,966.7
O000013,P0029,2,623.78
O000014,P0133,2,494.49
O000015,P0090,2,1018.74
O000016,P0029,2,617.75
O000016,P0118,2,2789.57
O000017,P0059,3,2098.63
O000018,P0140,1,596.31
O000018,P0069,2,1415.32
O000019,P0103,1,147.35
O000019,P0025,1,559.16
O000020,P0081,1,949.72
O000021,P0002,1,2504.1
O000022,P0060,3,294.89
O000023,P0062,3,2337.17
O000023,P0134,1,5982.8
O000024,P0038,2,656.47
O000024,P0001,2,4617.24
O000025,P0070,4,1967.39
O000026,P0101,1,953.84
O000026,P0012,1,1507.7
O000027,P0097,1,538.08
O000027,P0095,2,2830.5
O000028,P0068,1,1015.57
O000029,P0105,1,1462.88
O000030,P0069,1,1388.87
O000031,P0098,2,3558.18
O000032,P0129,2,1477.88
O000032,P0141,1,3362.94
O000033,P0066,1,1572.5
O000034,P0104,1,488.12
O000035,P0117,2,3756.0
O000036,P0105,3,1424.0
O000036,P0114,2,416.29
O000037,P0024,1,2125.89
O000038,P0040,1,549.33
O000039,P0035,1,377.47
O000040,P0006,2,1366.09
O000041,P0026,2,788.91
O000042,P0085,2,930.56
O000043,P0125,1,3509.22
O000043,P0004,2,430.08
O000044,P0121,2,1747.28
O000044,P0086,2,4081.16
O000045,P0003,1,524.85
O000046,P0068,1,1068.16
O000046,P0149,2,776.7
O000047,P0073,1,985.31
O000048,P0031,2,478.81
O000049,P0114,1,415.24
O000050,P0102,1,518.51
O000051,P0091,3,10060.13
O000051,P0033,1,3200.04
O000052,P0086,1,4277.87
O000052,P0137,2,2373.26
O000053,P0123,3,4091.18
O000054,P0021,1,1944.19
O000055,P0075,3,2179.96
O000056,P0088,1,1150.62
O000057,P0042,1,830.76
O000057,P0060,1,255.08
O000058,P0070,1,1873.15
