order_id,customer_id,order_date,payment_method,status
O000001,C00102,2025-07-07,COD,Delivered
O000002,C00665,2025-07-07,COD,Delivered
O000003,C03115,2025-09-19,COD,Delivered
O000004,C01591,2025-02-21,Debit Card,Delivered
O000005,C02369,2025-05-20,Debit Card,Delivered
O000006,C04509,2025-01-19,UPI,Delivered
O000007,C00928,2025-03-16,Debit Card,Delivered
O000008,C04037,2025-08-18,UPI,Delivered
O000009,C04130,2025-05-10,Debit Card,Delivered
O000010,C01851,2025-02-24,UPI,Delivered
O000011,C00445,2025-09-28,Debit Card,Delivered
O000012,C04276,2025-04-10,UPI,Delivered
O000013,C01855,2025-03-10,UPI,Delivered
O000014,C01690,2025-10-26,UPI,Delivered
O000015,C00717,2025-01-17,UPI,Delivered
O000016,C00969,2025-12-20,UPI,Delivered
O000017,C04408,2025-04-26,Credit Card,Delivered
O000018,C04102,2025-06-01,Net Banking,Delivered
O000019,C02596,2025-11-26,Net Banking,Delivered
O000020,C00638,2025-04-26,UPI,Delivered
O000021,C04554,2025-01-30,UPI,Delivered
O000022,C01765,2025-11-19,UPI,Delivered
O000023,C02619,2025-02-20,Debit Card,Delivered
O000024,C03552,2025-03-01,Credit Card,Delivered
O000025,C02116,2025-08-17,Credit Card,Delivered
O000026,C00120,2025-09-16,Net Banking,Cancelled
O000027,C00848,2025-12-26,Debit Card,Delivered
O000028,C00875,2025-01-05,Credit Card,Returned
O000029,C02995,2025-01-28,Credit Card,Delivered
O000030,C03058,2025-09-11,UPI,Delivered
O000031,C03317,2025-12-30,UPI,Delivered
O000032,C03652,2025-08-19,UPI,Delivered
O000033,C01865,2025-12-23,Debit Card,Delivered
O000034,C01321,2025-07-19,Net Banking,Delivered
O000035,C01739,2025-11-28,Net Banking,Delivered
O000036,C04021,2025-09-28,UPI,Cancelled
O000037,C00934,2025-12-05,COD,Delivered
O000038,C02676,2025-10-31,Credit Card,Returned
O000039,C03677,2025-02-15,Net Banking,Cancelled
O000040,C02662,2025-01-28,Debit Card,Delivered
O000041,C01372,2025-01-07,Net Banking,Delivered
O000042,C00275,2025-08-20,UPI,Delivered
O000043,C02678,2025-07-18,Credit Card,Delivered
O000044,C03137,2025-04-04,Debit Card,Delivered
O000045,C00069,2025-03-23,UPI,Returned
O000046,C02775,2025-03-29,Net Banking,Delivered
O000047,C04405,2025-07-05,Debit Card,Delivered
O000048,C02195,2025-08-31,Credit Card,Delivered
O000049,C00578,2025-03-09,Credit Card,Delivered
O000050,C04272,2025-11-07,Credit Card,Delivered
O000051,C02249,2025-07-06,Credit Card,Delivered
O000052,C03408,2025-08-27,UPI,Delivered
O000053,C03199,2025-08-06,UPI,Delivered
